,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating,,"Questions - in each case write your interpretation. Affair value >0 = affair, otherwise no affair"
4,0,No,male,37,10,no,3,18,7,4,1,Open or Import the data in the system
5,0,No,female,27,4,no,4,14,6,4,2,How many rows or columns are present?
11,0,No,female,32,15,yes,1,12,1,4,3,What is the data type of each column? If there is mismatch in data type then correct it
16,0,No,male,57,15,yes,5,18,6,5,4,Remove the first column which is un-named
23,0,No,male,22,0.75,no,2,17,6,3,5,Create a new column affair_status where code 0 in affair indicate No and rest other values indicate yes.
29,0,No,female,32,1.5,no,2,17,5,5,6,is there any missing values in dataset?
44,0,No,female,22,0.75,no,2,12,1,3,7,How many males and females are present in the dataset? Create a count table and % table and visualize the %table?
45,0,No,male,57,15,yes,2,14,4,4,8,What is the most common age in the dataset?
47,0,No,female,32,15,yes,4,16,1,2,9,Is this overall common age differ by male and female? Visualize it and interpret the output
49,0,No,male,22,1.5,no,4,14,4,5,10,Do male more involved in extra marrital affair then women?
50,0,No,male,37,15,yes,2,20,7,2,11,Usually in which age women are tend to involve more in extra marital affair?
55,0,No,male,27,4,yes,4,18,6,4,12,Does low number (<5) of years married impact for extra marrital afair OR in later years?
64,0,No,male,47,15,yes,5,17,6,4,13,Does low or high numbers of married years have more impact on male or female for extra marital affairs?
80,0,No,female,22,1.5,no,2,17,5,4,14,Is there any relation between age and years married for extra marital affair?
86,0,No,female,27,4,no,4,14,5,4,15,How many children or non children values are present in the dataset? Show it by count and % and visualize the %
93,0,No,female,37,15,yes,1,17,5,5,16,Does having no children result into extra marital affair?
108,0,No,female,37,15,yes,2,18,4,3,17,What is the distribution of religiousness in our dataset?
114,0,No,female,22,0.75,no,3,16,5,4,18,Do less religious people have more extra marital affair or more religion people?
115,0,No,female,22,1.5,no,2,16,5,5,19,What is the probability of male having an affair?
116,0,No,female,27,10,yes,2,14,1,5,20,What is the probability of male with Children having an affair?
123,0,No,female,22,1.5,no,2,16,5,5,21,What is the probability of affair for male with high religiniousness vs male with low religiousness?
127,0,No,female,22,1.5,no,2,16,5,5,22,Do probability of female with children are more inclined to affair than female with no children?
129,0,No,female,27,10,yes,4,16,5,4,23,"Test the hypothesis ""Male and Female are equally attracted to external affair""."
134,0,No,female,32,10,yes,3,14,1,5,24,"Test the hypothesis ""Male having children engage more in external affair than female""."
137,0,No,male,37,4,yes,2,20,6,4,25,"If 5 males are randomly selected, then what is the probability that they do not have affair"
139,0,No,female,22,1.5,no,2,18,5,5,26,Divide the dataset in target and features dataset
147,0,No,female,27,7,no,4,16,1,5,27,Decode the categorical variables for machine learning
151,0,No,male,42,15,yes,5,20,6,4,28,Create a Train and Test Dataset
153,0,No,male,27,4,yes,3,16,5,5,29,Apply the machine learning on train dataset and create machine learning model
155,0,No,female,27,4,yes,3,17,5,4,30,Evalaute the model on Test Dataset
162,0,No,male,42,15,yes,4,20,6,3,,Provide your own input to the model and find the model prediction
163,0,No,female,22,1.5,no,3,16,5,5,,
165,0,No,male,27,0.417,no,4,17,6,4,,
168,0,No,female,42,15,yes,5,14,5,4,,
170,0,No,male,32,4,yes,1,18,6,4,,
172,0,No,female,22,1.5,no,4,16,5,3,,
184,0,No,female,42,15,yes,3,12,1,4,,
187,0,No,female,22,4,no,4,17,5,5,,
192,0,No,male,22,1.5,yes,1,14,3,5,,
194,0,No,female,22,0.75,no,3,16,1,5,,
210,0,No,male,32,10,yes,5,20,6,5,,
217,0,No,male,52,15,yes,5,18,6,3,,
220,0,No,female,22,0.417,no,5,14,1,4,,
224,0,No,female,27,4,yes,2,18,6,1,,
227,0,No,female,32,7,yes,5,17,5,3,,
228,0,No,male,22,4,no,3,16,5,5,,
239,0,No,female,27,7,yes,4,18,6,5,,
241,0,No,female,42,15,yes,2,18,5,4,,
245,0,No,male,27,1.5,yes,4,16,3,5,,
249,0,No,male,42,15,yes,2,20,6,4,,
262,0,No,female,22,0.75,no,5,14,3,5,,
265,0,No,male,32,7,yes,2,20,6,4,,
267,0,No,male,27,4,yes,5,20,6,5,,
269,0,No,male,27,10,yes,4,20,6,4,,
271,0,No,male,22,4,no,1,18,5,5,,
277,0,No,female,37,15,yes,4,14,3,1,,
290,0,No,male,22,1.5,yes,5,16,4,4,,
292,0,No,female,37,15,yes,4,17,1,5,,
293,0,No,female,27,0.75,no,4,17,5,4,,
295,0,No,male,32,10,yes,4,20,6,4,,
299,0,No,female,47,15,yes,5,14,7,2,,
320,0,No,male,37,10,yes,3,20,6,4,,
321,0,No,female,22,0.75,no,2,16,5,5,,
324,0,No,male,27,4,no,2,18,4,5,,
334,0,No,male,32,7,no,4,20,6,4,,
351,0,No,male,42,15,yes,2,17,3,5,,
355,0,No,male,37,10,yes,4,20,6,4,,
361,0,No,female,47,15,yes,3,17,6,5,,
362,0,No,female,22,1.5,no,5,16,5,5,,
366,0,No,female,27,1.5,no,2,16,6,4,,
370,0,No,female,27,4,no,3,17,5,5,,
374,0,No,female,32,10,yes,5,14,4,5,,
378,0,No,female,22,0.125,no,2,12,5,5,,
381,0,No,male,47,15,yes,4,14,4,3,,
382,0,No,male,32,15,yes,1,14,5,5,,
383,0,No,male,27,7,yes,4,16,5,5,,
384,0,No,female,22,1.5,yes,3,16,5,5,,
400,0,No,male,27,4,yes,3,17,6,5,,
403,0,No,female,22,1.5,no,3,16,5,5,,
409,0,No,male,57,15,yes,2,14,7,2,,
412,0,No,male,17.5,1.5,yes,3,18,6,5,,
413,0,No,male,57,15,yes,4,20,6,5,,
416,0,No,female,22,0.75,no,2,16,3,4,,
418,0,No,male,42,4,no,4,17,3,3,,
422,0,No,female,22,1.5,yes,4,12,1,5,,
435,0,No,female,22,0.417,no,1,17,6,4,,
439,0,No,female,32,15,yes,4,17,5,5,,
445,0,No,female,27,1.5,no,3,18,5,2,,
447,0,No,female,22,1.5,yes,3,14,1,5,,
448,0,No,female,37,15,yes,3,14,1,4,,
449,0,No,female,32,15,yes,4,14,3,4,,
478,0,No,male,37,10,yes,2,14,5,3,,
482,0,No,male,37,10,yes,4,16,5,4,,
486,0,No,male,57,15,yes,5,20,5,3,,
489,0,No,male,27,0.417,no,1,16,3,4,,
490,0,No,female,42,15,yes,5,14,1,5,,
491,0,No,male,57,15,yes,3,16,6,1,,
492,0,No,male,37,10,yes,1,16,6,4,,
503,0,No,male,37,15,yes,3,17,5,5,,
508,0,No,male,37,15,yes,4,20,6,5,,
509,0,No,female,27,10,yes,5,14,1,5,,
512,0,No,male,37,10,yes,2,18,6,4,,
515,0,No,female,22,0.125,no,4,12,4,5,,
517,0,No,male,57,15,yes,5,20,6,5,,
532,0,No,female,37,15,yes,4,18,6,4,,
533,0,No,male,22,4,yes,4,14,6,4,,
535,0,No,male,27,7,yes,4,18,5,4,,
537,0,No,male,57,15,yes,4,20,5,4,,
538,0,No,male,32,15,yes,3,14,6,3,,
543,0,No,female,22,1.5,no,2,14,5,4,,
547,0,No,female,32,7,yes,4,17,1,5,,
550,0,No,female,37,15,yes,4,17,6,5,,
558,0,No,female,32,1.5,no,5,18,5,5,,
571,0,No,male,42,10,yes,5,20,7,4,,
578,0,No,female,27,7,no,3,16,5,4,,
583,0,No,male,37,15,no,4,20,6,5,,
586,0,No,male,37,15,yes,4,14,3,2,,
594,0,No,male,32,10,no,5,18,6,4,,
597,0,No,female,22,0.75,no,4,16,1,5,,
602,0,No,female,27,7,yes,4,12,2,4,,
603,0,No,female,27,7,yes,2,16,2,5,,
604,0,No,female,42,15,yes,5,18,5,4,,
612,0,No,male,42,15,yes,4,17,5,3,,
613,0,No,female,27,7,yes,2,16,1,2,,
621,0,No,female,22,1.5,no,3,16,5,5,,
627,0,No,male,37,15,yes,5,20,6,5,,
630,0,No,female,22,0.125,no,2,14,4,5,,
631,0,No,male,27,1.5,no,4,16,5,5,,
632,0,No,male,32,1.5,no,2,18,6,5,,
639,0,No,male,27,1.5,no,2,17,6,5,,
645,0,No,female,27,10,yes,4,16,1,3,,
647,0,No,male,42,15,yes,4,18,6,5,,
648,0,No,female,27,1.5,no,2,16,6,5,,
651,0,No,male,27,4,no,2,18,6,3,,
655,0,No,female,32,10,yes,3,14,5,3,,
667,0,No,female,32,15,yes,3,18,5,4,,
670,0,No,female,22,0.75,no,2,18,6,5,,
671,0,No,female,37,15,yes,2,16,1,4,,
673,0,No,male,27,4,yes,4,20,5,5,,
701,0,No,male,27,4,no,1,20,5,4,,
705,0,No,female,27,10,yes,2,12,1,4,,
706,0,No,female,32,15,yes,5,18,6,4,,
709,0,No,male,27,7,yes,5,12,5,3,,
717,0,No,male,52,15,yes,2,18,5,4,,
719,0,No,male,27,4,no,3,20,6,3,,
723,0,No,male,37,4,yes,1,18,5,4,,
724,0,No,male,27,4,yes,4,14,5,4,,
726,0,No,female,52,15,yes,5,12,1,3,,
734,0,No,female,57,15,yes,4,16,6,4,,
735,0,No,male,27,7,yes,1,16,5,4,,
736,0,No,male,37,7,yes,4,20,6,3,,
737,0,No,male,22,0.75,no,2,14,4,3,,
739,0,No,male,32,4,yes,2,18,5,3,,
743,0,No,male,37,15,yes,4,20,6,3,,
745,0,No,male,22,0.75,yes,2,14,4,3,,
747,0,No,male,42,15,yes,4,20,6,3,,
751,0,No,female,52,15,yes,5,17,1,1,,
752,0,No,female,37,15,yes,4,14,1,2,,
754,0,No,male,27,7,yes,4,14,5,3,,
760,0,No,male,32,4,yes,2,16,5,5,,
763,0,No,female,27,4,yes,2,18,6,5,,
774,0,No,female,27,4,yes,2,18,5,5,,
776,0,No,male,37,15,yes,5,18,6,5,,
779,0,No,female,47,15,yes,5,12,5,4,,
784,0,No,female,32,10,yes,3,17,1,4,,
788,0,No,female,27,1.5,yes,4,17,1,2,,
794,0,No,female,57,15,yes,2,18,5,2,,
795,0,No,female,22,1.5,no,4,14,5,4,,
798,0,No,male,42,15,yes,3,14,3,4,,
800,0,No,male,57,15,yes,4,9,2,2,,
803,0,No,male,57,15,yes,4,20,6,5,,
807,0,No,female,22,0.125,no,4,14,4,5,,
812,0,No,female,32,10,yes,4,14,1,5,,
820,0,No,female,42,15,yes,3,18,5,4,,
823,0,No,female,27,1.5,no,2,18,6,5,,
830,0,No,male,32,0.125,yes,2,18,5,2,,
843,0,No,female,27,4,no,3,16,5,4,,
848,0,No,female,27,10,yes,2,16,1,4,,
851,0,No,female,32,7,yes,4,16,1,3,,
854,0,No,female,37,15,yes,4,14,5,4,,
856,0,No,female,42,15,yes,5,17,6,2,,
857,0,No,male,32,1.5,yes,4,14,6,5,,
859,0,No,female,32,4,yes,3,17,5,3,,
863,0,No,female,37,7,no,4,18,5,5,,
865,0,No,female,22,0.417,yes,3,14,3,5,,
867,0,No,female,27,7,yes,4,14,1,5,,
870,0,No,male,27,0.75,no,3,16,5,5,,
873,0,No,male,27,4,yes,2,20,5,5,,
875,0,No,male,32,10,yes,4,16,4,5,,
876,0,No,male,32,15,yes,1,14,5,5,,
877,0,No,male,22,0.75,no,3,17,4,5,,
880,0,No,female,27,7,yes,4,17,1,4,,
903,0,No,male,27,0.417,yes,4,20,5,4,,
904,0,No,male,37,15,yes,4,20,5,4,,
905,0,No,female,37,15,yes,2,14,1,3,,
908,0,No,male,22,4,yes,1,18,5,4,,
909,0,No,male,37,15,yes,4,17,5,3,,
910,0,No,female,22,1.5,no,2,14,4,5,,
912,0,No,male,52,15,yes,4,14,6,2,,
914,0,No,female,22,1.5,no,4,17,5,5,,
915,0,No,male,32,4,yes,5,14,3,5,,
916,0,No,male,32,4,yes,2,14,3,5,,
920,0,No,female,22,1.5,no,3,16,6,5,,
921,0,No,male,27,0.75,no,2,18,3,3,,
925,0,No,female,22,7,yes,2,14,5,2,,
926,0,No,female,27,0.75,no,2,17,5,3,,
929,0,No,female,37,15,yes,4,12,1,2,,
931,0,No,female,22,1.5,no,1,14,1,5,,
945,0,No,female,37,10,no,2,12,4,4,,
947,0,No,female,37,15,yes,4,18,5,3,,
949,0,No,female,42,15,yes,3,12,3,3,,
950,0,No,male,22,4,no,2,18,5,5,,
961,0,No,male,52,7,yes,2,20,6,2,,
965,0,No,male,27,0.75,no,2,17,5,5,,
966,0,No,female,27,4,no,2,17,4,5,,
967,0,No,male,42,1.5,no,5,20,6,5,,
987,0,No,male,22,1.5,no,4,17,6,5,,
990,0,No,male,22,4,no,4,17,5,3,,
992,0,No,female,22,4,yes,1,14,5,4,,
995,0,No,male,37,15,yes,5,20,4,5,,
1009,0,No,female,37,10,yes,3,16,6,3,,
1021,0,No,male,42,15,yes,4,17,6,5,,
1026,0,No,female,47,15,yes,4,17,5,5,,
1027,0,No,male,22,1.5,no,4,16,5,4,,
1030,0,No,female,32,10,yes,3,12,1,4,,
1031,0,No,female,22,7,yes,1,14,3,5,,
1034,0,No,female,32,10,yes,4,17,5,4,,
1037,0,No,male,27,1.5,yes,2,16,2,4,,
1038,0,No,male,37,15,yes,4,14,5,5,,
1039,0,No,male,42,4,yes,3,14,4,5,,
1045,0,No,female,37,15,yes,5,14,5,4,,
1046,0,No,female,32,7,yes,4,17,5,5,,
1054,0,No,female,42,15,yes,4,18,6,5,,
1059,0,No,male,27,4,no,4,18,6,4,,
1063,0,No,male,22,0.75,no,4,18,6,5,,
1068,0,No,male,27,4,yes,4,14,5,3,,
1070,0,No,female,22,0.75,no,5,18,1,5,,
1072,0,No,female,52,15,yes,5,9,5,5,,
1073,0,No,male,32,10,yes,3,14,5,5,,
1077,0,No,female,37,15,yes,4,16,4,4,,
1081,0,No,male,32,7,yes,2,20,5,4,,
1083,0,No,female,42,15,yes,3,18,1,4,,
1084,0,No,male,32,15,yes,1,16,5,5,,
1086,0,No,male,27,4,yes,3,18,5,5,,
1087,0,No,female,32,15,yes,4,12,3,4,,
1089,0,No,male,22,0.75,yes,3,14,2,4,,
1096,0,No,female,22,1.5,no,3,16,5,3,,
1102,0,No,female,42,15,yes,4,14,3,5,,
1103,0,No,female,52,15,yes,3,16,5,4,,
1107,0,No,male,37,15,yes,5,20,6,4,,
1109,0,No,female,47,15,yes,4,12,2,3,,
1115,0,No,male,57,15,yes,2,20,6,4,,
1119,0,No,male,32,7,yes,4,17,5,5,,
1124,0,No,female,27,7,yes,4,17,1,4,,
1126,0,No,male,22,1.5,no,1,18,6,5,,
1128,0,No,female,22,4,yes,3,9,1,4,,
1129,0,No,female,22,1.5,no,2,14,1,5,,
1130,0,No,male,42,15,yes,2,20,6,4,,
1133,0,No,male,57,15,yes,4,9,2,4,,
1140,0,No,female,27,7,yes,2,18,1,5,,
1143,0,No,female,22,4,yes,3,14,1,5,,
1146,0,No,male,37,15,yes,4,14,5,3,,
1153,0,No,male,32,7,yes,1,18,6,4,,
1156,0,No,female,22,1.5,no,2,14,5,5,,
1157,0,No,female,22,1.5,yes,3,12,1,3,,
1158,0,No,male,52,15,yes,2,14,5,5,,
1160,0,No,female,37,15,yes,2,14,1,1,,
1161,0,No,female,32,10,yes,2,14,5,5,,
1166,0,No,male,42,15,yes,4,20,4,5,,
1177,0,No,female,27,4,yes,3,18,4,5,,
1178,0,No,male,37,15,yes,4,20,6,5,,
